구분,지표,설명
분석 기법,K-means 클러스터링,"• 고객 데이터를 구매 패턴이 비슷한 그룹으로 자동 분류하는 분석 방법
• 비슷한 구매 성향을 가진 고객들이 하나의 군집으로 묶이는 구조
• 군집별 구매 특징을 비교하면 고객 유형 이해 가능
• 고객 세분화 및 타겟 마케팅 전략 수립에 활용"
분석 기법,PCA (주성분 분석),"• 여러 구매 변수(상품 카테고리)를 몇 개의 핵심 축으로 압축하는 분석 기법
• 복잡한 데이터를 단순한 구조로 만들어 전체 패턴을 파악하기 쉽게 만드는 목적
• 주요 축(PCA1, PCA2)을 통해 고객 구매 패턴의 큰 흐름 해석"
분석 기법,PCA Biplot,"• PCA 결과를 시각화한 그래프
• 점은 고객 위치, 화살표는 상품 카테고리 영향 방향 의미
• 특정 방향에 고객이 몰리면 해당 상품군 구매 성향이 강한 고객 그룹으로 해석"
분석 기법,Loading 값,"• 각 상품 카테고리가 PCA 축 형성에 미치는 영향 정도를 나타내는 값
• 값이 클수록 해당 변수의 영향력이 큼
• 고객 구매 패턴을 설명하는 핵심 상품군 파악 가능"
머신러닝 모델,Logistic Regression,"• 변수와 결과 사이 관계를 기반으로 고객 채널을 예측하는 분류 모델
• 구조가 단순하고 변수 영향 해석이 쉬운 특징
• 고객 구매 패턴이 채널 분류에 어떻게 작용하는지 이해하기 쉬움"
머신러닝 모델,Random Forest,"• 여러 개의 의사결정 트리를 결합해 예측 성능을 높인 모델
• 다양한 변수 조합을 동시에 고려하는 특징
• 복잡한 구매 패턴 데이터 분석에 안정적인 예측 성능 제공"
머신러닝 모델,XGBoost,"• Gradient Boosting 기반의 고성능 머신러닝 모델
• 여러 모델을 반복적으로 개선하며 예측 정확도를 높이는 구조
• 고객 분류나 예측 문제에서 높은 성능을 보이는 모델"
머신러닝 모델,SGDClassifier,"• 확률적 경사 하강법 기반 선형 분류 모델
• 계산 속도가 빠르고 대규모 데이터에 효율적인 특징
• 고객 탐지율이 중요한 상황에서 활용 가능"
모델 평가 지표,정확도 (Accuracy),"• 전체 예측 중 올바르게 분류된 비율
• 모델의 전체적인 분류 성능을 나타내는 기본 지표"
모델 평가 지표,정밀도 (Precision),"• 모델이 특정 고객(Retail 등)으로 예측한 것 중 실제 해당 고객 비율
• 값이 높을수록 잘못된 예측(False Positive)이 적음
• 잘못된 고객 타겟팅을 줄이는 상황에서 중요"
모델 평가 지표,재현율 (Recall),"• 실제 고객 중 모델이 올바르게 탐지한 비율
• 값이 높을수록 실제 고객을 놓치지 않는 모델
• 고객 탐지율이 중요한 분석에서 중요"
모델 평가 지표,F1 Score,"• 정밀도와 재현율을 함께 고려한 종합 성능 지표
• 두 지표의 균형이 좋을수록 값이 높음"
모델 평가 지표,ROC Curve,"• 분류 모델 성능을 다양한 기준값에서 평가하는 그래프
• 곡선이 왼쪽 위에 가까울수록 성능이 좋은 모델"
모델 평가 지표,AUC,"• ROC Curve 아래 면적• 모델이 두 그룹을 얼마나 잘 구분하는지 나타내는 지표
• 값이 1에 가까울수록 분류 성능이 우수"
모델 해석,Feature Importance,"• 모델이 예측할 때 중요하게 사용하는 변수 영향력
• 값이 높을수록 예측 결과에 미치는 영향이 큼"
모델 해석,SHAP Value,"• 각 변수 값이 예측 결과에 미치는 영향 방향과 크기 설명
• 양수 값은 특정 채널 예측 확률 증가• 음수 값은 반대 방향 영향 의미
• 색상은 변수 값 크기를 나타냄"
